Id,Probability
1,0.15138644084686168
2,0.10138267857070495
3,0.033975633635530744
4,0.1586544501104364
5,0.19395736180506462
6,0.0714121209122536
7,0.11999077125729343
8,0.08765754106969757
9,0.009844505106563015
10,0.5326700042501136
11,0.024967181059304018
12,0.042093263396874796
13,0.023823139584445527
14,0.10300945179964349
15,0.1296922670387663
16,0.03713818763555962
17,0.07155173548997569
18,0.032695242133142406
19,0.38078206067544773
20,0.1789614597257694
21,0.02146801511948443
22,0.031232240066797503
23,0.01477269897520118
24,0.7021143664852503
25,0.14453733212896608
26,0.039074984183997984
27,0.19896581137472447
28,0.02069834951289251
29,0.1097308657837811
30,0.054615012007335526
31,0.1284310775151942
32,0.01704462482919281
33,0.030414343593232543
34,0.13317185057967157
35,0.2403714230675626
36,0.11405356055542151
37,0.07359155876689286
38,0.034427576061027323
39,0.02608941385979776
40,0.11774380008459082
41,0.43619689757388413
42,0.44262910262316324
43,0.18791154456464407
44,0.01882679828173283
45,0.115736987947034
46,0.01319227840704584
47,0.00938114534082788
48,0.04240198572873978
49,0.037276598385693006
50,0.07589471732679426
51,0.03676939435588193
52,0.042899907809751475
53,0.021084023782809345
54,0.12197533625643775
55,0.042370861813577604
56,0.16318898339624205
57,0.014536988857821218
58,0.240174990037631
59,0.18455573925903834
60,0.177569636673841
61,0.05464591216546616
62,0.021506193830963638
63,0.0458828533952491
64,0.021853112858515576
65,0.036276784126681644
66,0.04365714197568897
67,0.03188994753763284
68,0.25274675838600197
69,0.01668852765226279
70,0.8146299771160848
71,0.03874782293984694
72,0.07171480502849607
73,0.018720992652973955
74,0.3299800770836906
75,0.033589595230055995
76,0.08526072095902917
77,0.16481207616587265
78,0.08126018441767416
79,0.054885695934361114
80,0.03926973775657995
81,0.029925159879133738
82,0.03223402490925058
83,0.06640631668267008
84,0.019287095526808976
85,0.04477214917859298
86,0.03342315527440903
87,0.12630234899679885
88,0.023505022896060532
89,0.0685600287000856
90,0.04983871087928894
91,0.10988087117647151
92,0.033208144387801466
93,0.028605702183330216
94,0.03587046785489452
95,0.015230855584957792
96,0.1949371537258559
97,0.07064795839165418
98,0.17852043891014815
99,0.027105255876373822
100,0.033992317939222416
101,0.12367744656350324
102,0.16296225353687427
103,0.014197260703988473
104,0.12626273537601948
105,0.14437150899769036
106,0.04897759000051349
107,0.5471625282243721
108,0.03617454324696635
109,0.018417264977913975
110,0.04460502049426067
111,0.04967840166215631
112,0.06048030729314681
113,0.050495764943455076
114,0.685558081684657
115,0.18279065480637333
116,0.02574189083936067
117,0.009556212146588859
118,0.17374865200824513
119,0.03046865617192765
120,0.018684073204865058
121,0.026278322105487036
122,0.12885808429514348
123,0.02853091223598933
124,0.7427448200243107
125,0.020761904973775946
126,0.04167100122635836
127,0.013450320794472937
128,0.03536429088279295
129,0.014087678167525524
130,0.11272803361800632
131,0.0742191915177021
132,0.1517743207479961
133,0.015338613966017479
134,0.1851033092484335
135,0.26829067104006604
136,0.019753624524038952
137,0.33418980601504916
138,0.0942530586528998
139,0.016872439301522844
140,0.03192279596978675
141,0.012248664519220106
142,0.03098834561608358
143,0.011089941482349003
144,0.03458241454369472
145,0.49834621732578144
146,0.02599560257052213
147,0.011995900426537769
148,0.22280189034417952
149,0.01620437586287092
